Date,Open,High,Low,Close,Adj Close,Volume
2023-06-22,9125.0,9150.0,9050.0,9050.0,8760.451171875,48291100
2023-06-23,9025.0,9150.0,9025.0,9050.0,8760.451171875,47813500
2023-06-26,9025.0,9125.0,9025.0,9075.0,8784.6513671875,36389900
2023-06-27,9050.0,9150.0,9050.0,9150.0,8857.2509765625,36225100
2023-07-03,9025.0,9075.0,9025.0,9075.0,8784.6513671875,108855900
2023-07-04,9150.0,9150.0,9050.0,9050.0,8760.451171875,35049300
2023-07-05,9050.0,9075.0,9025.0,9050.0,8760.451171875,44609200
2023-07-06,9050.0,9100.0,9025.0,9075.0,8784.6513671875,52532400
2023-07-07,9025.0,9100.0,9025.0,9025.0,8736.2509765625,37641300
2023-07-10,9100.0,9100.0,9050.0,9050.0,8760.451171875,28981500
2023-07-11,9100.0,9100.0,9025.0,9025.0,8736.2509765625,43703500
2023-07-12,9075.0,9175.0,9050.0,9175.0,8881.451171875,61566500
2023-07-13,9200.0,9225.0,9125.0,9125.0,8833.0517578125,65230900
2023-07-14,9175.0,9200.0,9125.0,9200.0,8905.6513671875,55554500
2023-07-17,9200.0,9250.0,9175.0,9175.0,8881.451171875,62550100
2023-07-18,9200.0,9250.0,9100.0,9150.0,8857.2509765625,52924600
2023-07-20,9200.0,9225.0,9125.0,9150.0,8857.2509765625,83476600
2023-07-21,9150.0,9175.0,9125.0,9150.0,8857.2509765625,42667800
2023-07-24,9200.0,9200.0,9100.0,9100.0,8808.8515625,62061200
2023-07-25,9175.0,9300.0,9150.0,9150.0,8857.2509765625,122802700
2023-07-26,9175.0,9350.0,9125.0,9350.0,9050.8525390625,113868700
2023-07-27,9400.0,9400.0,9225.0,9225.0,8929.8515625,77848400
2023-07-28,9200.0,9225.0,9125.0,9125.0,8833.0517578125,74510200
2023-07-31,9175.0,9200.0,9100.0,9125.0,8833.0517578125,80868000
2023-08-01,9175.0,9175.0,9100.0,9125.0,8833.0517578125,49756400
2023-08-02,9125.0,9200.0,9125.0,9200.0,8905.6513671875,60629900
2023-08-03,9150.0,9300.0,9150.0,9250.0,8954.0517578125,64596100
2023-08-04,9250.0,9275.0,9125.0,9150.0,8857.2509765625,52675900
2023-08-07,9150.0,9275.0,9150.0,9275.0,8978.251953125,55589300
2023-08-08,9275.0,9300.0,9200.0,9200.0,8905.6513671875,43373400
2023-08-09,9275.0,9400.0,9250.0,9400.0,9099.2529296875,77056800
2023-08-10,9400.0,9425.0,9350.0,9400.0,9099.2529296875,76738100
2023-08-11,9425.0,9450.0,9375.0,9400.0,9099.2529296875,68898600
2023-08-14,9325.0,9350.0,9225.0,9350.0,9050.8525390625,75495400
2023-08-15,9325.0,9375.0,9300.0,9300.0,9002.4521484375,59303700
2023-08-16,9275.0,9325.0,9250.0,9300.0,9002.4521484375,53440000
2023-08-18,9250.0,9350.0,9250.0,9250.0,8954.0517578125,79328900
2023-08-21,9225.0,9250.0,9175.0,9175.0,8881.451171875,73573000
2023-08-22,9150.0,9325.0,9150.0,9300.0,9002.4521484375,65664600
2023-08-23,9300.0,9325.0,9275.0,9300.0,9002.4521484375,63749800
2023-08-24,9250.0,9325.0,9200.0,9200.0,8905.6513671875,53725900
2023-08-25,9200.0,9275.0,9175.0,9275.0,8978.251953125,50379000
2023-08-28,9250.0,9250.0,9200.0,9200.0,8905.6513671875,44423100
2023-08-29,9275.0,9300.0,9200.0,9250.0,8954.0517578125,45428500
2023-08-30,9300.0,9300.0,9200.0,9200.0,8905.6513671875,56227000
2023-08-31,9200.0,9225.0,9100.0,9175.0,8881.451171875,136107200
2023-09-01,9200.0,9275.0,9175.0,9225.0,8929.8515625,42152700
2023-09-04,9225.0,9275.0,9175.0,9225.0,8929.8515625,40610600
2023-09-05,9250.0,9250.0,9200.0,9225.0,8929.8515625,42007200
2023-09-06,9200.0,9250.0,9150.0,9150.0,8857.2509765625,49318400
2023-09-07,9125.0,9175.0,9100.0,9175.0,8881.451171875,61405200
2023-09-08,9100.0,9150.0,9050.0,9125.0,8833.0517578125,80732300
2023-09-11,9075.0,9125.0,9075.0,9125.0,8833.0517578125,53155900
2023-09-12,9100.0,9125.0,9075.0,9100.0,8808.8515625,66479000
2023-09-13,9050.0,9075.0,9000.0,9075.0,8784.6513671875,69490200
2023-09-14,9000.0,9125.0,9000.0,9100.0,8808.8515625,112757900
2023-09-15,9050.0,9100.0,9000.0,9000.0,8712.05078125,121005300
2023-09-18,9050.0,9075.0,9000.0,9000.0,8712.05078125,34272200
2023-09-19,9000.0,9075.0,8975.0,9075.0,8784.6513671875,33325800
2023-09-20,9125.0,9175.0,9075.0,9150.0,8857.2509765625,54305500
2023-09-21,9125.0,9150.0,9075.0,9125.0,8833.0517578125,40607000
2023-09-22,9125.0,9150.0,9075.0,9075.0,8784.6513671875,42445300
2023-09-25,9075.0,9075.0,9000.0,9000.0,8712.05078125,56132200
2023-09-26,9000.0,9025.0,8950.0,8950.0,8663.650390625,73544700
2023-09-27,8900.0,9000.0,8875.0,8875.0,8591.0498046875,84345000
2023-09-29,8825.0,8900.0,8825.0,8825.0,8542.6494140625,118960000
2023-10-02,8900.0,9100.0,8875.0,9075.0,8784.6513671875,93663000
2023-10-03,9075.0,9200.0,9025.0,9200.0,8905.6513671875,98380200
2023-10-04,9200.0,9250.0,9125.0,9200.0,8905.6513671875,112582800
2023-10-05,9200.0,9200.0,9075.0,9075.0,8784.6513671875,72855700
2023-10-06,9100.0,9100.0,9025.0,9025.0,8736.2509765625,53344400
2023-10-09,9025.0,9125.0,9025.0,9050.0,8760.451171875,43774500
2023-10-10,9000.0,9000.0,8925.0,8925.0,8639.4501953125,71966100
2023-10-11,8925.0,9025.0,8925.0,8925.0,8639.4501953125,84305800
2023-10-12,9000.0,9100.0,9000.0,9050.0,8760.451171875,71064500
2023-10-13,9100.0,9125.0,9025.0,9075.0,8784.6513671875,62941800
2023-10-16,9125.0,9125.0,9050.0,9100.0,8808.8515625,29429200
2023-10-17,9050.0,9075.0,8950.0,8950.0,8663.650390625,59606000
2023-10-18,8925.0,8950.0,8850.0,8850.0,8566.849609375,50919200
2023-10-19,8825.0,8850.0,8750.0,8750.0,8470.048828125,89509700
2023-10-20,8725.0,9025.0,8725.0,8975.0,8687.8505859375,64554500
2023-10-23,8875.0,8925.0,8850.0,8850.0,8566.849609375,50633500
2023-10-24,8775.0,8875.0,8775.0,8775.0,8494.2490234375,76963200
2023-10-25,8825.0,8925.0,8825.0,8875.0,8591.0498046875,54748400
2023-10-26,8925.0,8950.0,8725.0,8725.0,8445.8486328125,63199400
2023-10-27,8725.0,8800.0,8700.0,8700.0,8421.6484375,52450700
2023-10-30,8700.0,8850.0,8700.0,8850.0,8566.849609375,51958200
2023-10-31,8800.0,8825.0,8725.0,8750.0,8470.048828125,64907600
2023-11-01,8750.0,8775.0,8600.0,8600.0,8324.849609375,67027600
2023-11-02,8725.0,8900.0,8725.0,8850.0,8566.849609375,56050900
2023-11-03,8925.0,8950.0,8850.0,8900.0,8615.25,60414100
